breed_slug,platform,account_name,profile_url,handle,followers_seen,note,date_added,status
agouti-husky,FB,Bama Huskies,https://www.facebook.com/bamahuskies/,@bamahuskies,,Breeder page posting agouti pups,2026-07-15,new
agouti-husky,FB,Life with Husky (group),https://www.facebook.com/groups/lifewithhusky/,group,,Large husky group with agouti threads seen,2026-07-15,new
agouti-husky,FB,Obi Agouti Husky,https://www.facebook.com/obiagoutihusky/,@obiagoutihusky,119,Likes; dog blog page,2026-07-15,new
agouti-husky,FB,Siberian huskies AGOUTI WOLF GREY MOSTLY BLACK,https://www.facebook.com/huskyagouti/,@huskyagouti,2757,Likes; agouti-color page,2026-07-15,new
agouti-husky,IG,Agouti Husky Dog,https://www.instagram.com/agoutihuskies/,@agoutihuskies,,Agouti feature page,2026-07-15,new
agouti-husky,IG,Spooky the Agouti Husky,https://www.instagram.com/spooky.the.agouti.husky/,@spooky.the.agouti.husky,53,"SoCal, AKC purebred",2026-07-15,new
agouti-husky,IG,The Agouti Husky Sleddog Team,https://www.instagram.com/the.agouti.husky.sleddogteam/,@the.agouti.husky.sleddogteam,,4-dog sled team account,2026-07-15,new
agouti-husky,IG,Winter the Agouti Husky,https://www.instagram.com/wintertheagoutihusky/,@wintertheagoutihusky,1307,AZ dog account,2026-07-15,new
american-bully,FB,American Bully & Friends,https://www.facebook.com/groups/lovemybully/,group,,Owner group,2026-07-15,new
american-bully,FB,American Bully Club of So Cal,https://www.facebook.com/groups/180501232142437/,group,,Regional club group,2026-07-15,new
american-bully,FB,American Bully Fans Club,https://www.facebook.com/groups/americanbullyfansclub/,group,,Fan group,2026-07-15,new
american-bully,FB,American Bully Kennel Club (ABKC),https://www.facebook.com/TheABKC/,@TheABKC,,"Official registry page, Fredericksburg VA",2026-07-15,new
american-bully,FB,NABA — National American Bully Association,https://www.facebook.com/nationalamericanbullyassociation/,page,,Pilot for UKC AB national club,2026-07-15,new
american-bully,FB,United American Bully Association,https://www.facebook.com/p/United-American-Bully-Association-61559635625452/,page,,Breed association page,2026-07-15,new
american-bully,FB,Venomline / Texas Size Bullies,https://www.facebook.com/Venomline/,@Venomline,,FB arm of Venomline breeder program,2026-07-15,new
american-bully,FB,XL XXL XXXL American Bullys,https://www.facebook.com/groups/AmericanBully/,group,,XL-focused group,2026-07-15,new
american-bully,IG,760 Toadline,https://www.instagram.com/760gottiline/,@760gottiline,,Exotic micro/pocket line,2026-07-15,new
american-bully,IG,American Bully,https://www.instagram.com/americanbully_/,@americanbully_,348K,"Breed promo page, 8K+ posts",2026-07-15,new
american-bully,IG,American Bully / Exotic Bully,https://www.instagram.com/americanbully/,@americanbully,234K,Breed promotion page,2026-07-15,new
american-bully,IG,American.Bully.Oficial,https://www.instagram.com/american.bully.oficial/,@american.bully.oficial,90K,Bully aggregator (possibly non-English — verify before outreach),2026-07-15,new
american-bully,IG,BigOBullies,https://www.instagram.com/bigobullies/,@bigobullies,18K,"XL AB breeder, Florida",2026-07-15,new
american-bully,IG,Buddha FL Bully,https://www.instagram.com/buddhaflbully/,@buddhaflbully,,"Exotic trindle pocket bully, Orlando",2026-07-15,new
american-bully,IG,GP American Bully Kennel,https://www.instagram.com/gpbulls/,@gpbulls,,Kennel account,2026-07-15,new
american-bully,IG,Short Stack Bullies,https://www.instagram.com/shortstackbullies_/,@shortstackbullies_,,"Nano/micro exotic breeder, CA",2026-07-15,new
american-bully,IG,Stunning American Bully,https://www.instagram.com/stunning_americanbully/,@stunning_americanbully,47K,XL/XXL bully niche,2026-07-15,new
american-bully,IG,TheABKC,https://www.instagram.com/theabkc/,@theabkc,,Official ABKC registry account,2026-07-15,new
american-bully,IG,Trinity Exotic Bullies,https://www.instagram.com/teb_mr_microbully214/,@teb_mr_microbully214,,"Micro/pocket exotic breeder, Dallas TX",2026-07-15,new
american-bully,IG,True Exotic Bully,https://www.instagram.com/truexoticbully/,@truexoticbully,19K,Micro exotic bully niche,2026-07-15,new
american-bully,IG,XB American Bully Micro,https://www.instagram.com/americanbullymicro/,@americanbullymicro,153K,Micro/exotic bully niche,2026-07-15,new
