breed_slug,name,type,website_url,contact_method,contact_value,email_confidence,already_contacted,note,date_added,status
agouti-husky,Siberian Husky Genetics,blog,https://www.siberianhuskygenetics.com/siberian-coat-colors-and-examples,none,,,no,coat-color reference incl. agouti — strong quote/link target,2026-07-15,new
agouti-husky,Southern Siberian Life,blog,https://southernsiberianlife.com/about-us/,none,,,yes,"husky owner blog, surfaced in agouti search",2026-07-15,new
agouti-husky,Arcticsun Siberians,breeder,https://arcticsun.tripod.com/aboutus.html,none,,,no,Canadian; works agouti gene into show/dual lines,2026-07-15,new
agouti-husky,Burnsberg Kennels,breeder,https://www.burnsbergkennels.com/,none,,,no,MI kennel; agouti litters per snippet,2026-07-15,new
agouti-husky,Evereve Kennels,breeder,https://www.everevekennels.com/,none,,,no,Cedarville OH; specializes in agouti lines per search snippet,2026-07-15,new
agouti-husky,Halo Huskies,breeder,https://www.halohuskies.com/agouti-siberian-husky-puppies,none,,,yes,breeder with dedicated agouti pages,2026-07-15,new
agouti-husky,Husky Palace,breeder,https://huskypalace.com/agouti-husky-breeder/,none,,,no,"AKC Bred-with-Heart breeder, dedicated agouti page",2026-07-15,new
agouti-husky,Skyfall Siberians,breeder,https://skyfallsiberians.wixsite.com/skyfallsiberians,none,,,no,"husky breeder, surfaced in agouti FB search",2026-07-15,new
agouti-husky,BubblyPet — Agouti Husky ultimate guide,media,https://www.bubblypet.com/agouti-husky/,none,,,no,agouti guide article,2026-07-15,new
agouti-husky,Dog Academy — Agouti Husky guide,media,https://dogacademy.org/breeds/agouti-husky,none,,,no,dedicated agouti guide page,2026-07-15,new
agouti-husky,Dogs Academy — Agouti Siberian Husky guide,media,https://dogsacademy.org/agouti-husky/,none,,,no,separate site from dogacademy.org,2026-07-15,new
agouti-husky,Poodle Guru — Agouti Husky care,media,https://poodleguru.com/agouti-husky/,none,,,no,multi-breed blog with agouti husky guide,2026-07-15,new
agouti-husky,SpiritDog Training — Agouti Husky profile,media,https://spiritdogtraining.com/breeds/agouti-husky/,none,,,no,dedicated agouti breed profile,2026-07-15,new
agouti-husky,The Pets Magazine — Agouti Husky,media,https://thepetsmagazine.com/dogs/agouti-husky/,none,,,no,agouti guide article,2026-07-15,new
american-bully,American Bully Lover,blog,https://americanbullylover.com/,none,https://americanbullylover.com/,,yes,AB puppy-care blog,2026-07-15,new
american-bully,American Bully Pedia,blog,https://americanbullypedia.com/,none,https://americanbullypedia.com/,,no,Educational AB resource for owners/breeders,2026-07-15,new
american-bully,The American Bully Breed,blog,https://www.theamericanbullybreed.com/,none,https://www.theamericanbullybreed.com/,,no,Health & care guide site for AB owners,2026-07-15,new
american-bully,Bully West Kennels,breeder,https://bullywestkennels.com/,none,https://bullywestkennels.com/,,no,"Pocket AB breeder, northern Utah",2026-07-15,new
american-bully,Elite Bully Kennels,breeder,https://elitebullykennels.com/,none,https://elitebullykennels.com/,,no,"Pocket/standard show bullies, FL Gulf Coast",2026-07-15,new
