date,time_utc,totalFans,totalDogs,totalBones,watching,note
2026-06-23,baseline,200,30,3106,5,baseline at free-to-enter launch + ad swap
2026-06-25,08:28,218,28,3606,0,totalDogs down 2 vs baseline (likely admin removals)
2026-06-26,12:22,222,29,3617,0,
2026-06-29,08:12,238,40,4022,0,
2026-06-30,13:01,239,35,4079,0,totalDogs down 5 vs 06-29 (40->35), likely admin removals
2026-07-01,16:05,242,37,4135,0,
2026-07-03,07:07,253,42,4335,0,
2026-07-04,08:02,260,48,4538,0,possible duplicate: GH Actions tracker also runs 08:00 UTC (this local task was retired 2026-07-03)
2026-07-05,08:14,261,48,4539,0,local task retired 2026-07-03 (GH Actions tracker is source of truth); no GH row seen locally for today
2026-07-06,08:02,261,48,4539,0,no change vs 07-05; local task still firing though marked retired (GH Actions migration not deployed)
2026-07-07,09:19,267,48,4560,0,
2026-07-08,08:28,267,48,4560,0,
2026-07-09,09:03,271,53,4685,0,
2026-07-10,08:11,271,53,4685,0,
2026-07-11,08:50,273,53,4691,0,
2026-07-13,13:48,276,53,4693,0,
2026-07-14,09:57,277,53,4693,0,
2026-07-15,10:02,278,53,4693,0,
2026-07-16,10:08,286,53,4887,0,
2026-07-17,09:56,288,53,4889,0,
2026-07-18,09:25,291,53,4998,0,
2026-07-19,09:51,294,53,4999,0,
2026-07-20,10:51,294,53,5000,0,
2026-07-21,10:24,294,53,5000,0,
2026-07-22,10:24,294,53,5000,0,
2026-07-23,10:22,295,50,5016,0,
2026-07-24,10:16,297,53,5021,0,
2026-07-25,09:46,299,53,5021,0,
2026-07-26,09:58,299,53,5021,0,
2026-07-27,11:20,300,53,5021,0,
2026-07-28,10:34,300,53,5021,0,
2026-07-29,10:37,304,53,5158,0,
2026-07-30,10:24,304,51,5166,0,
2026-07-31,10:38,305,53,5167,0,
2026-08-01,09:58,305,53,5167,0,
2026-08-02,09:56,306,53,5167,0,
2026-08-03,11:21,306,53,5167,0,
2026-08-04,10:37,328,54,5371,0,
2026-08-05,10:33,333,54,5411,0,
2026-08-06,10:37,336,53,5435,0,
2026-08-07,08:58,346,60,5603,10,
2026-08-08,08:39,346,55,5625,0,
2026-08-09,08:41,348,55,5626,0,
2026-08-10,09:19,354,56,5633,0,
2026-08-11,08:54,361,58,5664,0,
2026-08-12,09:10,370,59,5746,0,
2026-08-13,09:10,371,59,5760,0,
2026-08-14,09:05,374,59,5766,0,
2026-08-15,08:27,378,59,5796,0,
2026-08-16,08:28,380,60,5841,0,
2026-08-17,08:41,381,60,5845,0,
2026-08-18,08:35,381,60,5846,0,
2026-08-19,08:35,381,60,5872,0,
2026-08-20,08:36,382,60,5901,0,
2026-08-21,08:39,382,60,5901,0,
2026-08-22,08:28,384,60,5901,0,
2026-08-23,08:28,385,60,5931,0,
2026-08-24,08:46,385,60,5931,0,
2026-08-25,08:40,385,60,5931,0,
2026-08-26,08:41,385,60,5942,0,
2026-08-27,18:51,386,60,5942,0,
2026-08-28,19:54,386,60,5942,0,
2026-08-29,13:38,387,60,5943,0,
2026-08-30,13:34,388,60,5948,0,
2026-08-31,15:52,388,60,5948,0,
2026-09-01,13:08,388,60,5948,0,
2026-09-02,12:34,388,60,5973,0,
2026-09-03,12:37,390,60,5975,0,
2026-09-04,12:31,391,60,5975,0,
2026-09-05,11:39,391,60,5975,0,
